area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ROU,FAOSTAT_291,total_pesticides_use,25255,19898,15134,24252,21811,20113,17425,15349,13979,11280,9427.4,7871.1,7875.7,6928.1,6778.2,7565.7,6733.2,6314,7193.7,6548.7,7249.2,6582.9,6418.7,6947.9,6723.8,6608.04,6463,6715,5243,5452,5365,5598
RUS,FAOSTAT_292,total_fertilizers,,,5510000,3851000,1510000,1750000,1580000,1550000,1264000,1361000,1420000,1602700,1418971,1348580,1394880,1436120,1517330,1732810,1932120,1901990,1912870,1969160,1877480,1861020,1934280,2026990,2273277,2472916,2532016,2748227,3081103,3081103
RUS,FAOSTAT_293,total_pesticides_use,,,25961,25961,25961,25961,25961,25961,27372.06,28783.11,30194.17,31605.23,33016.29,34427.34,35838.4,37249.46,38660.51,40071.57,41482.63,42893.69,44304.74,45715.8,47126.86,48537.91,49948.97,51360.03,71057,79522.64,74671.56,77306.76,90534.96,97018.45
RWA,FAOSTAT_294,total_fertilizers,2989,1583,690,1400,,,300,400,300,300,300,300,2449,2449,2035,3400,3886,8824,10753,1444,94,114,5834.28,13211.29,14500.05,22680.15,11298.43,22422.11,18432.75,29846.38,35342.49,30316.26
RWA,FAOSTAT_295,total_pesticides_use,157,107,97,127.4,157.8,188.2,218.6,249,157,152,147,72,106.34,140.68,159.54,222.92,288.72,398.11,321.75,1187.6,953.85,181.6,925.52,1841.5,2060.91,2484.21,2027.03,2027.03,2027.03,2027.03,2027.03,2027.03
SAU,FAOSTAT_296,total_fertilizers,489000,508000,538600,455000,360000,284000,317000,321000,330000,347000,386200,383760,365500,382200,399000,335700,366000,389500,259000,230000,242000,283500,309000,286200,274800,320400,315700,299100,300600,300600,304100,304100
SAU,FAOSTAT_297,total_pesticides_use,994,994,994,994,994,994,994,2513,2683.37,2853.74,3024.11,3194.48,3364.86,3535.23,3705.6,3875.97,4046.34,4216.71,4377.72,4538.73,4699.74,4860.74,5021.75,5412.5,6259.67,7106.85,7954.02,8801.19,9648.36,10495.54,7255.65,7255.65
SDN,FAOSTAT_298,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,66081.06,51831.07,83269.68,89844.8,191260.15,172526.32,149127.86,149127.86,149127.86,149127.86
SDN,FAOSTAT_299,total_pesticides_use,,,,,,,,,,,,,,,,,,,,,,,2469.47,2665.68,2861.9,3058.11,3254.33,2379.65,5486.85,4082.53,4082.53,4082.53
SEN,FAOSTAT_300,total_fertilizers,11750,16630,17000,24000,25900,16200,21600,22900,25600,37800,38200,29900,35973,32072,37970,30842,6548,6116,8337,24404,31169,22531,34730,39620,37570,15120,68963.83,110642.52,53956,68971.18,80869.68,33853.91
SEN,FAOSTAT_301,total_pesticides_use,384,384,384,357.55,547.3,435.31,411.33,437.23,450.71,470.87,491.03,282.02,328,373.99,419.97,465.95,511.93,557.92,603.9,649.88,695.86,741.85,787.83,722.53,609.79,708.52,830.74,163.31,478.78,478.78,577.18,577.18
SGP,FAOSTAT_302,total_fertilizers,5600,5100,5600,5500,4701,4537,3142,2063,4027,3769,3005,2353,101.88,77,82.01,76.93,74.59,89.9,70.61,70.62,81.1,82.43,87.05,86.61,84.89,80.17,79.51,88,85.14,77.4,78.9,78.9
SLB,FAOSTAT_303,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,344.04,,,3151.41,421.75,1107.87,237.84
SLB,FAOSTAT_304,total_pesticides_use,58.2,58.2,58.2,58.2,58.2,58.2,55.38,49.73,41.26,32.8,24.33,15.86,14.29,20.29,26.66,31.97,34.18,40.81,36.33,44.68,54.24,66.45,72.25,72.31,64.15,60.1,63.38,65.18,54.8,39.65,39.65,39.65
SLE,FAOSTAT_305,total_fertilizers,1300,600,1400,3000,3000,3000,3000,3000,300,90,150,300,5263.71,7776.35,,,13907.09,,8075.31,9061.49,15625.33,,13207.76,14723.63,14883.99,15198.81,20061.03,26042.61,24975.72,27161.97,30257.7,4224.08
SLE,FAOSTAT_306,total_pesticides_use,261.39,261.39,261.39,261.39,261.39,261.39,261.39,261.39,261.39,261.39,225.29,153.09,85.7,59.23,73.66,88.1,102.53,116.97,131.4,145.84,160.28,174.71,189.15,203.58,225.93,341.66,370.96,405.88,342.61,360.95,360.95,360.95
SLV,FAOSTAT_307,total_fertilizers,74796,77503,74969,74720,66000,69887,91800,94400,82800,78508,77779,73174,49432,53245,60168,91682,65699,96144,87355,79544,120706,129068,102030.79,102845.16,69003.25,81421.71,67778.39,64277.18,82888.56,42820.73,58375.94,66472.64
SLV,FAOSTAT_308,total_pesticides_use,2524,4096,3940.77,3785.54,3630.31,3475.08,3319.85,3164.62,3009.39,2854.16,2698.93,2543.7,2388.47,2233.24,2078.01,1922.78,2265.72,1940.78,3899.48,3333.88,3598.59,3231.13,2595.16,6005.08,5638.23,1747.35,1419.2,3133.73,2955.68,2525.72,3098.7,3793.4
SMR,FAOSTAT_309,total_fertilizers,,,,,,,,,,,343,390,115.51,120.34,123.92,111.89,114.52,127.59,98.59,84.18,98.54,98.62,98.13,104.62,104.07,239.23,236.24,244.51,234.49,241.89,259.88,
SOM,FAOSTAT_310,total_fertilizers,2700,,,,,,500,500,500,500,500,500,0,0,0,0,7.8,0,0,329.47,104.18,30.79,4.29,22.09,67.11,47.45,809.24,1200.12,981.94,929.95,1559.47,1178.22
SOM,FAOSTAT_311,total_pesticides_use,34.67,24.45,19.07,23.06,42.81,31.08,24.27,3.16,0.93,15.36,20.88,33.71,25.38,38.93,74.17,92.36,123.59,117.87,135.71,123.39,125.72,175.18,250.54,330.46,372.85,356.5,299.45,316,443.3,616.77,722.15,746.85
SRB,FAOSTAT_312,total_fertilizers,,,,,,,,,,,,,,,,,374941.31,488996.08,360842.84,443591.01,339392.31,381010.9,530210.74,480456.06,316205.44,278307.9,362877.81,313742.95,188327.36,224635.01,417457.65,196086.72
SRB,FAOSTAT_313,total_pesticides_use,,,,,,,,,,,,,,,,,2240.1,2405.16,2268.26,1942.54,1940.66,2567.29,3385.66,3647.77,3803.73,3257,2781.81,2310.7,2450.77,2593.5,2518.61,2442.19
SSD,FAOSTAT_314,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,0.5,9.6,17.39,62.2,85.85,65.41,243.79,214.45,181.27,61.89
STP,FAOSTAT_315,total_fertilizers,,,,,,,,,,,,,154.5,140.92,192.48,129.72,159.33,155.1,166.52,149.5,180,213.71,175.87,181.46,187.05,226.61,187.48,243.38,206.83,206.4,228.33,186.5
STP,FAOSTAT_316,total_pesticides_use,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,5.19,4.31,3.98,5.55,5.33,6.69,6.34,11.35,12.75,15.52,18.64,19.38,23.28,19.33,18.71,16.36,17.59,18.9,19.41,20.99,24.74,27.37
SUR,FAOSTAT_317,total_fertilizers,1000,1000,2900,3300,4300,4300,7300,7100,7594,5300,5800,5600,4148,5998,7475,5212,8983,6874,25787,9181,11656,11965,9826.12,10250.39,12674.49,9428.73,14151.06,15079.72,8393.38,7877.53,15141.17,10178.03
SUR,FAOSTAT_318,total_pesticides_use,217,207,197.5,188,178.5,169,142,139,151.33,163.67,176,273.08,370.17,431.07,357.87,401.81,370.78,397.75,501.05,615.66,477.87,936.24,633.92,537.49,622.53,982.84,617,651.3,789,530.58,377.75,381.35
SVK,FAOSTAT_319,total_fertilizers,,,,96355,99056,107529,118744,107400,120414,89047,118126,117335,117180,111554,116548,111981,126475,123862,103766,108224,118409,133468,148864,148864,158318,152538,169402,163425.46,174298.5,174262.19,174726.11,178338.58
SVK,FAOSTAT_320,total_pesticides_use,,,,3889.7,4158.5,6146.9,3905.4,3247.2,3582.5,2831.9,1457.49,1549.87,1642.21,1515.43,1573.03,1545.6,1586.97,1595.47,1498.24,1654.12,1880.75,1410.5,1563.78,1620.28,1721.83,1567.86,1520,1724,1785,1859,1810,1620
SVN,FAOSTAT_321,total_fertilizers,,,63355,54527,84865,73700,63300,73979,76590,78594,75552,72467,67784,69250,63131,58001,57317,56792,51326,43084,49206,47287,45995,47003,48417,49278,47614,47279.56,47582,46294,46311,44578
SVN,FAOSTAT_322,total_pesticides_use,,,1309,1112,944,987,953,1245,1091,1134.5,1468,1387,1164.1,1361,1557.98,1383.88,1280.98,1155.23,1218.15,1162.87,1134.37,1121.91,1016.08,917.49,1009.92,1046.84,1157,1087,1172,972,949,931
SWE,FAOSTAT_323,total_fertilizers,328258,292092,314201,329250,322999,294067,310557,309997,294024,290028,282482,265692,267400,261900,259900,236800,229100,236100,260400,168600,214869,222403,197728,219183,240173,249518,251148.81,268205.29,255893,248143,296933,296933
SWE,FAOSTAT_324,total_pesticides_use,2310,1841,1497,1466,1962,1225,1529,1534,1555,1602,1721,1789,2198,2549,1353,2132,2220,2157,2352,1935,1982,1781,1814,1620,1880,1836.2,1630,1525,1459,1478.1,1653,1858.9
SWZ,FAOSTAT_325,total_fertilizers,13397,11500,12400,11600,4900,5095,4224,5200,5800,5500,5800,7000,10656,9603.84,10488.96,8227.2,10817.28,10606.08,9699.84,9674.8,9463.9,10364.5,10782.5,11835.1,11519.7,10993.4,10146,12716.7,11255.6,11210,10966.8,10225.96
SWZ,FAOSTAT_326,total_pesticides_use,741.56,741.56,741.56,741.56,741.56,741.56,741.56,692.74,680.59,566.75,551.51,452.66,757.61,962.57,1262.13,1091.99,847.8,438.25,199.04,185.24,484.4,587.21,581.59,462.22,522.75,582.07,680.43,863.44,1039.6,1148.16,1238.7,1318.12
SYC,FAOSTAT_327,total_fertilizers,,,,,,,,,,23,42,20,,24,11,34,11,30,34,52,29,45,73.5,51.25,50.56,122.51,78.26,96.9,77.35,126.76,81.37,81.37
SYC,FAOSTAT_328,total_pesticides_use,47.4,49.07,51.15,68.41,66.06,107.62,108.88,123.16,87.05,72.65,61.75,55.43,127.3,123.46,124.68,68.39,77.92,132.94,370.3,531.26,630.3,439.93,314.66,157.77,111.14,84.93,101.01,98.19,97.69,232.77,504.66,707.24
SYR,FAOSTAT_329,total_fertilizers,304170,287600,306517,338100,351295,341843,357189,368363,330833,370775,365500,299333,321135,350800,348123,397122,394807,381937,413465,305520,154750,231804,141080.41,63209.35,30251.19,3505.57,19281.35,16285.11,27714.93,33201.07,30969.13,18009.55
SYR,FAOSTAT_330,total_pesticides_use,845,1089.65,1157.61,1516.45,1326.04,1244.84,1065.25,1538.28,1730.68,1699.58,1107.35,987.12,1099.9,1429.3,1597.73,1578.97,1475.38,1308.86,1210.72,1400.62,1614.06,1897.26,1897.26,1897.26,1897.26,1897.26,1897.26,1897.26,1897.26,1897.26,1897.26,1897.26
TCD,FAOSTAT_331,total_fertilizers,5800,8600,10076,5252,7000,8558,11900,7850,16820,17500,17500,17500,11525.7,10379.3,8852.2,13816.5,13322.7,12972.3,14230.22,13113.75,16940,11860.9,11272.35,12350.68,12913.08,12712.87,12769.28,16226.36,15943.14,12477.88,11897.4,11897.4
TCD,FAOSTAT_332,total_pesticides_use,60.28,60.28,60.28,60.28,60.28,57.86,55.44,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.04,53.06,53.08,53.1,53.12,53.14,52.25,50.45,47.74,45.02,43.22,42.31,42.31,42.31,42.31,42.31,42.31
TGO,FAOSTAT_333,total_fertilizers,11500,11744,12230,9865,11164,16433,17612,16810,17200,16900,19838,19200,13296.9,18310.43,8626.53,683.88,33.17,0,0.54,7126.88,24201.3,25101.44,13310.6,31071.23,4892.44,8817.12,36247.2,15315.38,40695.65,7091.5,7091.5,5471.81
TGO,FAOSTAT_334,total_pesticides_use,324,213,192,206,203,198,197,228.07,259.13,290.2,321.27,352.34,383.4,414.47,584.76,203.09,268.78,262.45,229.94,172.19,242.01,145.74,341.43,371.9,812.89,1117.98,1246.2,1263,1356,1425,1425,1425
THA,FAOSTAT_335,total_fertilizers,1043791,962100,1117800,1455000,1360000,1507000,1519752,1481000,1637000,1763028,1560886,1684072,1778115.2,2255018,2003092.79,1727008.5,1792028.77,2095469.99,1973142.74,1912864.11,2510488.26,2574104.5,2532919.06,2801899.05,2670968.92,2287627.36,2478751.2,2799341.85,2318009.07,1887778.46,2296258.42,2390046.51
THA,FAOSTAT_336,total_pesticides_use,18849,18849,18849,18849,20448,24062,21901,23960,19212,22761,20334,30629.67,40925.33,51221,88548,43831,41220,66858,65423,67933,68986,87191,69921,8136,21800,26167.67,30535.33,34037.48,34776.62,28073.81,19006.56,19006.56
TJK,FAOSTAT_337,total_fertilizers,,,128000,76000,70000,70000,62100,51127,36872,10600,8900,12100,32004.78,17726.2,19487.53,12489.29,25937.81,12082.67,8176.11,9112.44,7164.85,4872.21,6765.01,9611.13,16858.77,18223.65,9871.97,14848.92,12354.98,77611.31,81209.53,75725.72
TJK,FAOSTAT_338,total_pesticides_use,,,130.22,130.22,130.22,130.22,130.22,130.22,130.22,130.22,130.1,129.85,129.47,129.1,128.73,128.35,127.98,127.61,127.24,126.86,126.49,126.12,125.74,125.37,125,124.62,147,309.01,386.46,468.83,439.21,480.51
TKM,FAOSTAT_339,total_fertilizers,,,175000,160000,125000,131000,142000,178000,76000,91200,100600,112000,111900,123900,143900,191000,258500,269500,269700,272800,275000,275000,280000,385400,406800,517100,433800,413400,457400,469300,469300,469300
TKM,FAOSTAT_340,total_pesticides_use,,,505.57,505.57,505.57,505.57,505.57,474.31,549.43,546.76,575.35,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55,497.55
TLS,FAOSTAT_341,total_fertilizers,,,,,,,,,,,,,18.47,3.12,,,35.47,,0.09,23.82,358.72,,171.4,124.17,20.45,240.66,113.04,39.84,59.02,59.02,59.02,59.02
TLS,FAOSTAT_342,total_pesticides_use,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,2.67,3.31,5.03,8.28,11.53,14.78,18.03,21.28,24.53,29.52,36.25,44.72,53.18,58.82,61.64,61.64,61.64,61.64
TON,FAOSTAT_343,total_fertilizers,,,,,,,,,,,,,0,0,0,0,0,0,162.03,187.49,177.9,121.96,147.36,151.63,120.92,165.45,206.75,236.94,167.72,310.61,237.08,226.97
TON,FAOSTAT_344,total_pesticides_use,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,11.21,15.09,12.04,9,24,22,22,22,22
TTO,FAOSTAT_345,total_fertilizers,7100,8100,9600,5400,5400,7000,10430,10600,6800,6100,9204,1740,4400,4400,6400,6000,5900,5900,5100,5600,5700,5800,6900,7700,9000,8900,9100,8800,8012.85,9007.91,8743.6,8861.37
TTO,FAOSTAT_346,total_pesticides_use,336,387,385,314,298,284,269,253,239,225,212,195,181,167,150,136,122,108,93,80,125.5,172,515.74,859,1173,1173,1173,1173,1173,1173,1173,1173
TUN,FAOSTAT_347,total_fertilizers,83900,98900,105043,95400,89000,77000,97000,96520,113853,112200,111300,100000,102000,110500,119100,124100,124100,126100,115800,131000,133900,137400,141000,115300,118400,136500,158900,127100,147100,143040.71,89345.98,136040.71
TUN,FAOSTAT_348,total_pesticides_use,909,909,909,909,909,909,909,909,1172.19,1215.39,1411.77,1379.44,1155.47,1272.27,1582.2,1492.72,1290.48,1363.19,1776.65,1495.28,2174.9,2135.1,3076.4,2462,2765.96,2817.44,3133.94,2670.38,3211.48,3511.11,3412.08,3299.07
TUR,FAOSTAT_349,total_fertilizers,1887520,1770865,1927552,2207000,1507337,1700388,1799300,1825700,2180700,2193351,2088812,1670636,1746666,1970135,2044015,2067475,2110514,1985593,1551367,2232592,2103665,1847301,2064828,2312134,2180242,2202736,2807280,2644333,2164158,2466416,2930889,2575146
TUR,FAOSTAT_350,total_pesticides_use,29918,24343,27110,28042,24219,27328,30286,34431,30162,33089,33471,25539,27915,33075,28831,40332,27421,48715.51,37640.2,37651.15,38554.69,39534.43,42610.59,39440,39722.72,39026,50054,54098,60020,51297,53672,52963
TUV,FAOSTAT_351,total_fertilizers,,,,,,,,,,,,,18,16.34,18.5,15.66,16.42,17.97,24.84,20.52,20.74,17.3,13.74,13.4,10.49,14.37,13.39,17.01,14.61,18.94,16.94,17.16
TUV,FAOSTAT_352,total_pesticides_use,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.75,1.46,0.96,1.14,1.49,2.03,2.13,2,1.99,1.91,2.09,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17
TZA,FAOSTAT_353,total_fertilizers,46800,49679,47923,36300,35900,27000,31214,39980,30856,20980,22404,7874,31818,38050,50247,55818,52357,50716,52966,86533,101925,105865,104712,151441.21,120202.25,120355.09,170160.68,163616.02,213737.19,119625.68,222026.3,124902.3
TZA,FAOSTAT_354,total_pesticides_use,20,20,20,20,715,557,7,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UGA,FAOSTAT_355,total_fertilizers,192,1200,800,2200,1900,1300,600,600,3535,4479,6639,5800,7463,9331,8758,5756,7652,7497,18976,13746,11606,12068,14663.83,16847.73,12557.97,10949.67,13184.85,14228.42,22740.26,23227.28,16852.25,16852.25
UGA,FAOSTAT_356,total_pesticides_use,534.56,534.56,534.56,534.56,571.1,781.41,783.49,927.39,1137.86,1611.65,1633.74,1402.84,1281.03,1339.59,1646.25,1711.88,2037.64,2080.43,2238.7,2445.48,2990.23,3658.45,4324.48,4882.92,5655.05,6298.13,6284.06,6303.83,6037.93,6701.51,7410.66,8093.47
UKR,FAOSTAT_357,total_fertilizers,,,2692000,1345000,1134000,890000,525000,562000,513990,417000,440000,474000,519057,512481,533290,557930,699330,896440,1064720,886760,1060640,1263310,1346530,1493710,1471640,1415010,1728850,2028080,2150638,2142470,2488687,2584115
UKR,FAOSTAT_358,total_pesticides_use,,,66772,61843.46,56914.93,51986.39,47057.85,42129.32,37200.78,32272.25,27343.71,22415.17,17486.64,12558.1,15344.4,23021.7,28832.6,36476,54080.5,36444.7,62534.6,79491.7,90814.8,86781.8,78201,64986.5,51772,38557.5,25343,24325,24622,26974
URY,FAOSTAT_359,total_fertilizers,71884,78823,81200,91000,63000,66000,153500,129200,130000,105487,104122,116166,84278,153222,180554,195654,207581,205919,190660,206167,296378,309495,384803.75,582114.23,449439.73,281095.96,341030.01,343274.07,402937.29,348768.5,392638.39,428702.97
URY,FAOSTAT_360,total_pesticides_use,1762.01,1762.01,2072.03,1634.02,2272.08,2413.02,3444.01,3362.05,4239.03,3925.03,3650.08,4433.04,5184.5,7455.26,9017.73,9232.47,9143.45,14057.2,13335.22,13475.41,14981.18,17517.76,23506.4,19028.6,22962.2,14067.8,13365.8,14905.96,16446.12,16446.12,16446.12,16446.12
USA,FAOSTAT_361,total_fertilizers,18649535.53,18715635.49,18923983.49,19898612.9,19659910.18,19779137.26,20204780.01,20221133.08,19859884.78,19616704.16,19071525.91,19316848.41,19352971.21,21203083.68,20092236.02,19273411.11,20773985.32,19475350.42,16038481.19,18918611.18,19667310.7,20362667.78,20910153.74,21086056.85,19976842.12,20211336,20091404.33,20145604.65,20372424.93,20322918.44,20687523.36,20307182.26
USA,FAOSTAT_362,total_pesticides_use,400975.93,384646.39,400975.9,391903.86,425922.68,423201.53,433180.36,434540.76,424562.11,433633.96,430005.21,411407.94,416851.04,417758.24,425015.71,388275.15,392810.67,400068.15,379202.92,358337.7,374818.2,391298.7,407779.2,418673.92,413134.78,423474.93,451666.83,449713.05,457385.42,457385.42,457385.42,457385.42
UZB,FAOSTAT_363,total_fertilizers,,,730000,636000,473000,474000,445000,875100,824400,774800,731200,720300,719000,693000,625000,652000,715000,725086,747445,833343,856885,880427,865415,943798,989413,1004965,1023894,1023894,876150.12,1099002.66,1079195.83,1192134.28
VCT,FAOSTAT_364,total_fertilizers,2300,2300,2400,2900,3000,3000,3000,3000,3900,3900,3900,3900,191.05,105.05,119.05,129.15,169.85,168.35,189.45,103.3,212.95,194.2,216.25,225.45,271.55,265.05,249.6,247.3,260.6,266.45,259.95,603.36
VCT,FAOSTAT_365,total_pesticides_use,231.18,224.81,332.2,370.66,404.82,358.94,415.67,404.83,389.25,317.89,276.91,222.99,181.99,224.32,223.45,334.17,297.05,275.53,160.34,156.34,175.18,420.81,420.4,399.77,156.38,151.9,159.39,144.48,131.19,120.64,125.51,134.17
VEN,FAOSTAT_366,total_fertilizers,434000,396600,322000,282000,246000,298000,305000,291000,221700,206000,282000,300000,301000,303500,320000,351000,306000,373810,496250,446460,472940,486423.08,513393.66,520076.34,491083.48,495142.52,463100,391300,324600,122563.14,140337.28,132304.93
VEN,FAOSTAT_367,total_pesticides_use,1822,2409,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928
VNM,FAOSTAT_368,total_fertilizers,560279,781900,766400,754100,1184900,1223700,1484500,1471700,1856900,2057600,2267000,1906500,1950219.05,2191007.4,2379576.52,2159486.55,2177188.77,2546035.72,1906510.32,2795791.54,2351282.43,2277344.51,2375763.23,3107722.15,2799980.72,3027125.59,2972032.69,3200544.85,2902057.41,2902057.41,2902057.41,2902057.41
VNM,FAOSTAT_369,total_pesticides_use,20912,20912,20912,20912,20912,24896,32745,33019,20841,16695,16502,19154,19154,19154,19154,21120,19154,19154,19381,26825,24218,30302,39769,36605,38220,39106,40234,39248,42731,46026,49502,50096
VUT,FAOSTAT_370,total_fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,5.83,9.86,2.04,0.24
VUT,FAOSTAT_371,total_pesticides_use,172.49,138.13,100.87,77.63,84.03,88.6,78.25,71.71,68.98,66.25,64.7,64.32,65.12,65.92,66.73,67.53,73.19,79.25,85.7,70.92,47.61,23.63,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78,15.78
WORLD,FAOSTAT_372,total_fertilizers,137892337.8,134425404.9,125269813.4,120027164.7,122407659.4,129419315.3,134441233.3,137254263.4,138260258.2,140367079,135220402.6,137612214.9,141818685.4,147113617.4,154743076.6,155278549,159619993.1,166791537.3,156494728.9,158417924.1,174212515.1,181076591.8,180435360.8,184107725.1,188757629.2,186558960.7,187518481.4,193603923.5,192213224.1,186225513.2,197931122.7,195086050.8
WORLD,FAOSTAT_373,total_pesticides_use,1795502.6,1772292.04,1808001.59,1825682.63,1883780.01,1951574.56,2018541.73,2097594.59,2127700.6,2172747.66,2175280.2,2176534.38,2203470.78,2310478.33,2462438.65,2490860.63,2482626.38,2736726.61,2786794.3,2691522.03,2989646.99,3015972.15,3169518.01,3210138.21,3220249.69,3255128.39,3379276.8,3316950.01,3292014.06,3382370.32,3398783.53,3531959.08
WSM,FAOSTAT_374,total_fertilizers,,,,,,,,,,,,,10,24,40,37,24,38,49,35,16,15,3.77,22.57,7.74,,93.8,25.47,64.21,63.63,27.92,43.39
WSM,FAOSTAT_375,total_pesticides_use,48.07,48.07,36,23.53,48.27,44.18,23.66,29.78,12.05,10.02,6.77,12.41,18.05,23.68,29.32,34.96,40.6,46.23,51.87,57.51,63.15,68.78,74.42,80.06,85.7,91.33,96.97,102.61,196.7,111.6,185.14,272.15
YEM,FAOSTAT_376,total_fertilizers,22459,19600,14600,11000,11700,13100,8100,19300,17603,15084,15198,16300,11600,5630,18105,4901,11574,29220,18220,14100,25120,14400,19291.18,36482,25877.38,2041.95,20800.94,14807.5,1923.91,12243.44,12308.34,12308.34
YEM,FAOSTAT_377,total_pesticides_use,98.34,186.98,364.25,441.05,573.51,586.83,638.15,655.74,838.59,931.81,899.48,781.34,926.47,1026.48,1209.62,1248.87,1268.63,977.34,724.34,597.11,694.92,819.34,953.54,1506.28,1483.51,1357.2,718.78,576.13,837.9,1147.21,1504.08,1504.08
ZAF,FAOSTAT_378,total_fertilizers,785087,740100,732800,843383,752100,767000,803900,761000,782800,776700,740300,762500,838507,750041,801825,623586,785439,768874,720553,705800,674000,726000,739000,810000,797900,752100,687000,873900,1081086.21,1101489.21,1131043.59,1255665.88
ZAF,FAOSTAT_379,total_pesticides_use,16582,16582,16582,16582,16582,18025,19508,21596,24304,26098.8,26857,25800.04,27246.68,27369.95,27992.37,29696.72,28717.86,29468.41,33073.03,32608.51,33598.96,33334.33,34394.86,36324.38,38387.19,37740.47,35862.46,39492.46,39023.76,39144.12,41642.77,42620.17
ZMB,FAOSTAT_380,total_fertilizers,59500,62491,84500,85400,59000,55000,51400,56700,36700,34012,31391,36400,67325,75221,85587,76312,77365,95354,117980,91511,99190,166130,142979.17,181196.91,191774.06,212459.68,243145.12,273801.08,199550.67,256787.28,303103.35,242837.33
ZMB,FAOSTAT_381,total_pesticides_use,1080,1080,1080,1080,1080,716,1670,1797.51,1925.03,2052.54,2180.05,2307.57,2435.08,2562.59,2690.11,2817.62,2945.13,3072.65,3200.16,3327.67,3455.19,3582.7,3710.21,3837.73,3965.24,4092.75,4220.27,4347.78,4196.64,4196.64,4196.64,4196.64
ZWE,FAOSTAT_382,total_fertilizers,167685,164322,113600,159416,170700,145000,168000,175000,175000,185000,165300,152200,130310,146032,86352,85018,132661,108141,93475,117990,136332,111503,73000,102500,103100,78600,130300,146400,132800,132800,103900,103900
ZWE,FAOSTAT_383,total_pesticides_use,5727,6753,3303,1716,1664,2599,2538,2762,2883,2918.18,2953.36,2988.54,3023.72,3058.9,3094.08,3129.27,3164.45,3199.63,3234.81,3269.99,3305.17,3340.35,3375.53,2550.07,2185.07,2185.07,2185.07,2185.07,2185.07,2185.07,2185.07,2185.07
