Area,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KAZ,water_withdrawal,,,,80.94,81.17,81.41,79.42,77.07,74.28,70.88,66.66,67.25,68.13,68.32,68.9,71.27,62.93,63.4,58.92,60.62,59.13,59.7,58.38,60.76,57.8,61.07,61.05,61.84,63.58,66.8,62.69
KEN,water_withdrawal,76.43,75.52,74.56,73.55,72.49,71.38,70.2,68.95,67.63,66.23,64.75,69.3,72.74,75.43,72.39,69.66,67.19,64.94,62.88,61,59.26,59.26,59.26,59.26,59.26,59.26,80.21,80.21,80.21,80.21,80.21
KGZ,water_withdrawal,,,,,94.15,94.08,94.02,93.95,93.88,93.82,93.75,93.65,93.54,93.42,93.29,93.16,93.01,92.94,92.88,92.82,92.75,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69,92.69
KHM,water_withdrawal,,,,,,,,,,,,,,,,,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
KNA,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
KOR,water_withdrawal,68.55,67.15,65.85,64.64,63.49,62.3,61.17,60.1,61.16,61.53,61.9,58.35,55.21,56.08,57.21,54.66,58.3,58.21,58.12,58.03,57.95,57.86,57.77,57.68,57.6,59.19,58.93,58.93,58.93,58.93,58.93
KWT,water_withdrawal,,,,60.22,57.54,56.63,55.85,55.18,54.58,54.06,53.59,53.73,53.87,53.64,53.44,53.24,53.93,54.6,55.25,55.88,56.49,57.09,57.67,58.23,58.78,59.32,60.51,62.27,62.27,62.27,62.27
LAO,water_withdrawal,,,,,,,,,,,,,,,,91.41,92.4,93.18,93.82,94.34,94.79,95.17,95.5,95.78,96.04,96.18,96.08,95.9,95.9,95.92,95.92
LBN,water_withdrawal,69.99,69.37,68.78,68.21,67.67,67.04,66.43,65.85,65.28,64.73,64.2,63.33,62.44,61.51,60.54,59.54,56.64,53.95,51.46,49.15,46.98,44.96,43.07,41.29,39.62,38.04,38.04,38.04,38.04,38.04,38.04
LBR,water_withdrawal,48.27,44.37,40.47,36.57,32.68,28.79,24.91,21.02,17.15,13.27,9.4,9.19,8.99,8.79,8.61,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43,8.43
LBY,water_withdrawal,89.92,89.19,88.46,87.72,86.96,86.31,85.64,84.96,84.27,83.57,82.85,82.85,82.85,82.85,82.85,82.85,82.9,82.96,83.01,83.06,83.1,83.15,83.19,83.19,83.19,83.19,83.19,83.19,83.19,83.19,83.19
LCA,water_withdrawal,,,,,,,,,,,,,,,,,,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86,70.86
LKA,water_withdrawal,96.01,95.52,95.06,94.64,94.23,93.85,93.49,93.15,92.83,92.52,92.23,91.26,90.29,89.32,88.34,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36,87.36
LSO,water_withdrawal,45.63,41.99,38.25,34.41,30.46,26.4,22.23,17.93,13.51,8.96,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68
LTU,water_withdrawal,,,,,,0.18,0.25,0.34,0.43,0.54,0.67,1.91,2.64,3.48,3.68,3.42,4.47,3.61,5.51,6.18,6.81,7.71,9.11,11.59,16.19,15.6,19.26,22.74,22.46,22.46,22.46
LUX,water_withdrawal,,,,,,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.24,0.23,0.21,1.03,0.45,0.7,0.66,1.56,0.68,0.88,0.96,1.22,0
